tournament,stage,match_type,match_name,map,team_a,team_a_score,team_a_attacker,team_a_defender,team_a_ot,team_b,team_b_score,team_b_attacker,team_b_defender,team_b_ot,duration_raw,duration_sec,winner_team,score_diff
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,Team Heretics,1,1,0,,Paper Rex,13,2,11,,28:55,1735,Paper Rex,12
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,Team Heretics,9,7,2,,Paper Rex,13,8,5,,45:55,2755,Paper Rex,4
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,Bilibili Gaming,13,5,8,,Team Liquid,10,3,7,,47:52,2872,Bilibili Gaming,3
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Haven,Bilibili Gaming,14,8,4,2,Team Liquid,16,8,4,4,1:02:14,3734,Team Liquid,2
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Sunset,Bilibili Gaming,13,7,6,,Team Liquid,10,5,5,,45:07,2707,Bilibili Gaming,3
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Sentinels vs Wolves Esports,Split,Sentinels,13,4,9,,Wolves Esports,11,3,8,,1:01:08,3668,Sentinels,2
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Sentinels vs Wolves Esports,Lotus,Sentinels,13,9,4,,Wolves Esports,8,5,3,,50:17,3017,Sentinels,5
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Gen.G vs MIBR,Sunset,Gen.G,13,9,4,,MIBR,5,2,3,,38:33,2313,Gen.G,8
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Gen.G vs MIBR,Haven,Gen.G,13,11,2,,MIBR,1,0,1,,32:15,1935,Gen.G,12
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (1-0),Bilibili Gaming vs Sentinels,Icebox,Bilibili Gaming,13,8,5,,Sentinels,9,5,4,,52:30,3150,Bilibili Gaming,4
